,Month,Title Polarity,Content Polarity
0,201703,0.15704761904761905,0.42984761904761903
1,201704,0.2866756097560976,0.44409268292682935
2,201705,0.3697166666666668,0.5426933333333334
3,201706,0.3199464285714286,0.5999285714285715
4,201707,0.31100707964601765,0.5091451327433627
5,201708,0.22843292682926825,0.46668048780487814
6,201709,0.24936056338028167,0.42971830985915493
7,201710,0.27624090909090904,0.5164545454545453
8,201711,0.3087116279069767,0.4850674418604651
9,201712,0.28433088235294113,0.531601470588235
10,201801,0.19654814814814817,0.43386296296296306
11,201802,0.15786111111111112,0.4045638888888889
12,201803,0.2561357142857143,0.6302714285714287
13,201804,0.17149347826086955,0.3760891304347826
14,201805,0.2683292307692309,0.5324753846153846
15,201806,0.3323444444444445,0.5508740740740742
16,201807,0.32269074074074083,0.4856277777777778
17,201808,0.3282396825396826,0.5679730158730156
18,201809,0.38173382352941176,0.4909279411764706
19,201810,0.33726019184652223,0.5264450839328538
20,201811,0.362478448275862,0.5804767241379306
21,201812,0.28298425196850385,0.5054283464566928
22,201901,0.3640855737704911,0.4960144262295085
23,201902,0.32260808823529347,0.5071573529411765
24,201903,0.3902897959183669,0.4912904761904757
25,201904,0.31620860215053737,0.5413510752688171
26,201905,0.31158709677419333,0.47417032258064473
27,201906,0.3390031999999999,0.47574559999999966
28,201907,0.273657407407407,0.5117000000000003
29,201908,0.32345327102803684,0.475545171339564
30,201909,0.3686007352941174,0.5611551470588235
31,201910,0.27558246753246735,0.4970279220779216
32,201911,0.33947948717948695,0.478331282051282
33,201912,0.3083040852575487,0.5104182948490232
34,202001,0.32431565040650384,0.4532725609756098
35,202002,0.3645109333333328,0.48586293333333347
36,202003,0.3106942492012775,0.4080210862619804
37,202004,0.33422950819672065,0.49360286885245874
38,202005,0.33423211382113766,0.48931707317073164
39,202006,0.35323412322274833,0.5348199052132697
40,202007,0.3373668341708539,0.5374824120603013
41,202008,0.32176445497630285,0.4769492890995258
42,202009,0.3310387499999996,0.5245850000000002
43,202010,0.3230696551724138,0.4666462068965517
44,202011,0.31515764705882343,0.40567411764705885
