,name,great,cpu,good,best,processor,price,value,amd,performance,gaming,amazing,ryzen,star,fast,work,five,budget,awesome,buy,money,cooler,excellent,product,buck,bang,beast,love,nice,intel,chip,great cpu,five stars,great value,bang buck,great processor,good cpu,best cpu,best bang,great price,works great,cpu price,great gaming,best value,budget cpu,amazing cpu,price performance,value money,great product,great performance,amd ryzen,best bang buck,best budget cpu,great cpu price,worth every penny,great budget cpu,great cpu great,best value money,best cpu price,best processor ever,bang buck cpu
6,201709,0.0625,0.017857142857142856,0.004464285714285714,0.008928571428571428,0.017857142857142856,0.004464285714285714,0.008928571428571428,0.017857142857142856,0.017857142857142856,0.013392857142857142,0.004464285714285714,0.004464285714285714,0.07142857142857142,0.004464285714285714,0.017857142857142856,0.0625,0.013392857142857142,0.004464285714285714,0.013392857142857142,0.0,0.013392857142857142,0.004464285714285714,0.0,0.0,0.0,0.013392857142857142,0.008928571428571428,0.004464285714285714,0.008928571428571428,0.0,0.0,0.09032258064516129,0.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0064516129032258064,0.0064516129032258064,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.01935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0
7,201710,0.046511627906976744,0.031007751937984496,0.007751937984496124,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.0,0.007751937984496124,0.0,0.007751937984496124,0.0,0.015503875968992248,0.08527131782945736,0.0,0.0,0.05426356589147287,0.0,0.007751937984496124,0.0,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.007751937984496124,0.007751937984496124,0.023255813953488372,0.007751937984496124,0.007751937984496124,0.011764705882352941,0.08235294117647059,0.0,0.0,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,201711,0.030534351145038167,0.04580152671755725,0.022900763358778626,0.022900763358778626,0.022900763358778626,0.007633587786259542,0.03816793893129771,0.015267175572519083,0.015267175572519083,0.007633587786259542,0.007633587786259542,0.0,0.061068702290076333,0.015267175572519083,0.022900763358778626,0.04580152671755725,0.022900763358778626,0.0,0.007633587786259542,0.0,0.015267175572519083,0.022900763358778626,0.0,0.0,0.0,0.007633587786259542,0.007633587786259542,0.015267175572519083,0.0,0.007633587786259542,0.0,0.06818181818181818,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,201712,0.06382978723404255,0.03404255319148936,0.01702127659574468,0.02127659574468085,0.02127659574468085,0.02553191489361702,0.01276595744680851,0.00851063829787234,0.02127659574468085,0.01702127659574468,0.00851063829787234,0.00851063829787234,0.03404255319148936,0.00851063829787234,0.00851063829787234,0.029787234042553193,0.01702127659574468,0.0,0.00425531914893617,0.01702127659574468,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.0,0.0,0.00425531914893617,0.00851063829787234,0.00851063829787234,0.0,0.00851063829787234,0.017964071856287425,0.041916167664670656,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.005988023952095809,0.011976047904191617,0.0,0.005988023952095809,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0
10,201801,0.04597701149425287,0.040229885057471264,0.022988505747126436,0.005747126436781609,0.011494252873563218,0.022988505747126436,0.0,0.017241379310344827,0.028735632183908046,0.011494252873563218,0.005747126436781609,0.0,0.04597701149425287,0.011494252873563218,0.0,0.04597701149425287,0.017241379310344827,0.0,0.005747126436781609,0.005747126436781609,0.0,0.005747126436781609,0.005747126436781609,0.011494252873563218,0.011494252873563218,0.0,0.011494252873563218,0.0,0.011494252873563218,0.0,0.008264462809917356,0.06611570247933884,0.0,0.01652892561983471,0.008264462809917356,0.0,0.0,0.0,0.008264462809917356,0.0,0.0,0.008264462809917356,0.0,0.01652892561983471,0.0,0.008264462809917356,0.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0
11,201802,0.017543859649122806,0.05263157894736842,0.017543859649122806,0.0,0.02631578947368421,0.0,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.0,0.07017543859649122,0.0,0.0,0.06140350877192982,0.0,0.008771929824561403,0.0,0.008771929824561403,0.0,0.0,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.017543859649122806,0.0,0.0,0.008771929824561403,0.0,0.0125,0.0875,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,201803,0.07407407407407407,0.04938271604938271,0.024691358024691357,0.0,0.012345679012345678,0.024691358024691357,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.0,0.012345679012345678,0.06172839506172839,0.012345679012345678,0.012345679012345678,0.04938271604938271,0.012345679012345678,0.0,0.012345679012345678,0.0,0.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.012345679012345678,0.012345679012345678,0.0,0.0,0.018867924528301886,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.018867924528301886,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
13,201804,0.022727272727272728,0.05303030303030303,0.022727272727272728,0.007575757575757576,0.015151515151515152,0.007575757575757576,0.007575757575757576,0.045454545454545456,0.015151515151515152,0.007575757575757576,0.007575757575757576,0.022727272727272728,0.05303030303030303,0.007575757575757576,0.007575757575757576,0.045454545454545456,0.007575757575757576,0.007575757575757576,0.03787878787878788,0.0,0.015151515151515152,0.0,0.007575757575757576,0.0,0.0,0.015151515151515152,0.007575757575757576,0.007575757575757576,0.015151515151515152,0.0,0.0,0.06976744186046512,0.0,0.0,0.011627906976744186,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.011627906976744186,0.023255813953488372,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
14,201805,0.045454545454545456,0.04132231404958678,0.04132231404958678,0.024793388429752067,0.012396694214876033,0.02066115702479339,0.012396694214876033,0.012396694214876033,0.01652892561983471,0.012396694214876033,0.008264462809917356,0.012396694214876033,0.02066115702479339,0.008264462809917356,0.012396694214876033,0.02066115702479339,0.012396694214876033,0.0,0.004132231404958678,0.004132231404958678,0.008264462809917356,0.004132231404958678,0.004132231404958678,0.0,0.0,0.004132231404958678,0.008264462809917356,0.0,0.008264462809917356,0.008264462809917356,0.0,0.028089887640449437,0.0056179775280898875,0.0,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.0,0.0056179775280898875,0.0056179775280898875,0.0,0.0,0.0056179775280898875,0.0,0.0056179775280898875,0.0056179775280898875,0.0,0.0056179775280898875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,201806,0.05442176870748299,0.027210884353741496,0.02040816326530612,0.0,0.02040816326530612,0.006802721088435374,0.02040816326530612,0.013605442176870748,0.02040816326530612,0.0,0.013605442176870748,0.013605442176870748,0.04081632653061224,0.013605442176870748,0.02040816326530612,0.04081632653061224,0.0,0.027210884353741496,0.0,0.0,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.0,0.0,0.006802721088435374,0.02040816326530612,0.02040816326530612,0.013605442176870748,0.006802721088435374,0.02127659574468085,0.06382978723404255,0.031914893617021274,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
