Date,Open,High,Low,Close,Adj Close,Volume
1980-03-01,0.325521,0.335938,0.299479,0.321615,0.198357,162451200
1980-04-01,0.322917,0.330729,0.286458,0.319010,0.196751,252595200
1980-05-01,0.320313,0.359375,0.320313,0.354167,0.218434,191712000
1980-06-01,0.355469,0.360677,0.338542,0.342448,0.211206,214003200
1980-07-01,0.347656,0.444010,0.347656,0.441406,0.272239,288806400
1980-08-01,0.438802,0.486979,0.434896,0.455729,0.281073,274444800
1980-09-01,0.462240,0.497396,0.453125,0.463542,0.285891,179904000
1980-10-01,0.468750,0.516927,0.427083,0.437500,0.269830,218707200
1980-11-01,0.437500,0.518229,0.437500,0.484375,0.298740,189840000
1980-12-01,0.453125,0.466146,0.401042,0.419271,0.258587,309139200
1981-01-01,0.419271,0.440104,0.388021,0.388021,0.239313,211804800
1981-02-01,0.377604,0.424479,0.343750,0.364583,0.224858,319046400
1981-03-01,0.375000,0.388021,0.341146,0.377604,0.232889,290102400
1981-04-01,0.380208,0.424479,0.367188,0.393229,0.242526,286550400
1981-05-01,0.393229,0.437500,0.367188,0.427083,0.263405,220483200
1981-06-01,0.424479,0.424479,0.361979,0.375000,0.231283,214953600
1981-07-01,0.369792,0.377604,0.338542,0.351563,0.216827,189408000
1981-08-01,0.348958,0.348958,0.291667,0.291667,0.179886,163324800
1981-09-01,0.296875,0.315104,0.236979,0.252604,0.155795,278121600
1981-10-01,0.252604,0.299479,0.252604,0.296875,0.183099,256646400
1981-11-01,0.299479,0.309896,0.250000,0.260417,0.160613,213916800
1981-12-01,0.260417,0.268229,0.234375,0.234375,0.144552,280924800
1982-01-01,0.236979,0.281250,0.216146,0.270833,0.167037,375302400
1982-02-01,0.263021,0.270833,0.247396,0.265625,0.163825,238080000
1982-03-01,0.276042,0.302083,0.236979,0.299479,0.184705,345552000
1982-04-01,0.302083,0.343750,0.294271,0.328125,0.202372,517612800
1982-05-01,0.328125,0.359375,0.309896,0.315104,0.194342,384432000
1982-06-01,0.309896,0.330729,0.294271,0.325521,0.200766,335548800
1982-07-01,0.325521,0.354167,0.304688,0.335938,0.207191,387024000
1982-08-01,0.341146,0.385417,0.276042,0.382813,0.236101,850387200
1982-09-01,0.372396,0.416667,0.341146,0.341146,0.210403,821433600
1982-10-01,0.343750,0.432292,0.338542,0.386719,0.238510,657244800
1982-11-01,0.386719,0.429688,0.341146,0.398438,0.245738,709046400
1982-12-01,0.398438,0.427083,0.356771,0.403646,0.248950,789628800
1983-01-01,0.403646,0.485677,0.385417,0.447917,0.276254,698688000
1983-02-01,0.447917,0.494792,0.442708,0.484375,0.298740,500918400
1983-03-01,0.484375,0.513021,0.429688,0.502604,0.309983,512179200
1983-04-01,0.502604,0.518229,0.450521,0.515625,0.318014,400540800
1983-05-01,0.515625,0.622396,0.500000,0.596354,0.367804,519955200
1983-06-01,0.593750,0.812500,0.572917,0.776042,0.478626,576096000
1983-07-01,0.781250,1.031250,0.734375,0.838542,0.517174,699875200
1983-08-01,0.838542,0.864583,0.744792,0.854167,0.526810,582249600
1983-09-01,0.854167,0.963542,0.828125,0.859375,0.530023,511913600
1983-10-01,0.859375,0.916667,0.770833,0.786458,0.485051,527520000
1983-11-01,0.786458,0.901042,0.729167,0.869792,0.536447,516496000
1983-12-01,0.869792,0.901042,0.822917,0.875000,0.539659,351932800
1984-01-01,0.869792,0.906250,0.703125,0.765625,0.472202,604444800
1984-02-01,0.765625,0.796875,0.645833,0.776042,0.478626,823686400
1984-03-01,0.776042,0.791667,0.708333,0.750000,0.462565,484224000
1984-04-01,0.750000,0.750000,0.640625,0.729167,0.449716,488864000
1984-05-01,0.729167,0.791667,0.619792,0.643229,0.396714,515296000
1984-06-01,0.645833,0.713542,0.588542,0.630208,0.388683,511561600
1984-07-01,0.630208,0.645833,0.526042,0.635417,0.391896,557862400
1984-08-01,0.635417,0.781250,0.635417,0.750000,0.462565,692915200
1984-09-01,0.750000,0.755208,0.619792,0.645833,0.398320,543680000
1984-10-01,0.645833,0.692708,0.552083,0.578125,0.356561,770940800
1984-11-01,0.578125,0.619792,0.557292,0.593750,0.366198,512102400
1984-12-01,0.593750,0.611979,0.515625,0.583333,0.359773,509859200
1985-01-01,0.583333,0.677083,0.567708,0.640625,0.395108,649718400
1985-02-01,0.640625,0.671875,0.567708,0.583333,0.359773,499766400
1985-03-01,0.583333,0.588542,0.505208,0.578125,0.356561,520684800
1985-04-01,0.583333,0.609375,0.546875,0.572917,0.353349,411059200
1985-05-01,0.572917,0.588542,0.520833,0.549479,0.338893,555174400
1985-06-01,0.549479,0.565104,0.468750,0.541667,0.334075,881836800
1985-07-01,0.541667,0.619792,0.531250,0.588542,0.362985,732256000
1985-08-01,0.588542,0.625000,0.520833,0.541667,0.334075,429385600
1985-09-01,0.541667,0.567708,0.510417,0.536458,0.330863,501689600
1985-10-01,0.536458,0.546875,0.432292,0.531250,0.327650,781289600
1985-11-01,0.531250,0.619792,0.505208,0.593750,0.366198,759020800
1985-12-01,0.593750,0.651042,0.572917,0.609375,0.375834,613526400
1986-01-01,0.609375,0.645833,0.546875,0.588542,0.362985,922022400
1986-02-01,0.588542,0.671875,0.578125,0.578125,0.356561,1237056000
1986-03-01,0.578125,0.609375,0.526042,0.541667,0.334075,837328000
1986-04-01,0.541667,0.651042,0.510417,0.593750,0.366198,932713600
1986-05-01,0.593750,0.619792,0.526042,0.567708,0.350136,575878400
1986-06-01,0.567708,0.572917,0.453125,0.479167,0.295528,665638400
1986-07-01,0.479167,0.484375,0.359375,0.380208,0.234495,876585600
1986-08-01,0.390625,0.505208,0.341146,0.479167,0.295528,605875200
1986-09-01,0.479167,0.484375,0.390625,0.406250,0.250556,675587200
1986-10-01,0.411458,0.447917,0.375000,0.421875,0.260193,710627200
1986-11-01,0.419271,0.479167,0.406250,0.479167,0.295528,445084800
1986-12-01,0.468750,0.494792,0.432292,0.437500,0.269830,667625600
1987-01-01,0.432292,0.651042,0.432292,0.651042,0.401532,1794550400
1987-02-01,0.656250,0.802083,0.645833,0.791667,0.488263,1742361600
1987-03-01,0.786458,0.875000,0.713542,0.817708,0.504324,1420502400
1987-04-01,0.802083,1.000000,0.796875,0.979167,0.603904,1599945600
1987-05-01,0.973958,0.989583,0.822917,0.914063,0.563751,906224000
1987-06-01,0.916667,0.940104,0.822917,0.916667,0.565357,1201334400
1987-07-01,0.911458,1.052083,0.890625,0.994792,0.613541,1034198400
1987-08-01,0.979167,1.171875,0.932292,1.098958,0.677787,1222412800
1987-09-01,1.104167,1.226563,1.072917,1.203125,0.742032,1329244800
1987-10-01,1.213542,1.307292,0.557292,0.812500,0.501112,2649120000
1987-11-01,0.812500,0.890625,0.632813,0.671875,0.414381,1339526400
1987-12-01,0.687500,0.875000,0.648438,0.828125,0.510749,1350620800
1988-01-01,0.843750,0.914063,0.675781,0.796875,0.491476,1298822400
1988-02-01,0.796875,0.914063,0.718750,0.882813,0.544478,1054080000
1988-03-01,0.882813,1.023438,0.859375,0.917969,0.566161,1543497600
1988-04-01,0.914063,1.046875,0.914063,0.968750,0.597480,951699200
1988-05-01,0.976563,1.039063,0.906250,0.960938,0.592662,737900800
1988-06-01,0.960938,1.164063,0.953125,1.128906,0.696257,1314406400
1988-07-01,1.132813,1.140625,1.031250,1.085938,0.669756,922579200
1988-08-01,1.062500,1.109375,0.867188,0.875000,0.539659,1209648000
1988-09-01,0.867188,0.925781,0.796875,0.859375,0.530023,1275398400
1988-10-01,0.843750,0.882813,0.742188,0.773438,0.477020,1581792000
1988-11-01,0.781250,0.796875,0.601563,0.625000,0.385471,1653020800
1988-12-01,0.632813,0.750000,0.617188,0.742188,0.457747,1055660800
1989-01-01,0.742188,0.812500,0.714844,0.812500,0.501112,1333001600
1989-02-01,0.820313,0.871094,0.761719,0.804688,0.496294,979574400
1989-03-01,0.804688,0.851563,0.726563,0.820313,0.505931,874675200
1989-04-01,0.820313,0.953125,0.769531,0.906250,0.558933,1140284800
1989-05-01,0.898438,1.031250,0.882813,1.015625,0.626390,942182400
1989-06-01,1.015625,1.054688,0.875000,0.906250,0.558933,1082278400
1989-07-01,0.906250,0.984375,0.859375,0.953125,0.587843,849689600
1989-08-01,0.953125,1.039063,0.882813,0.937500,0.578207,1310659200
1989-09-01,0.929688,1.015625,0.917969,1.007813,0.621572,826406400
1989-10-01,1.007813,1.093750,0.937500,1.054688,0.650482,1284700800
1989-11-01,1.046875,1.093750,0.921875,1.085938,0.669756,816787200
1989-12-01,1.085938,1.125000,0.937500,1.078125,0.664937,854627200
1990-01-01,1.078125,1.242188,1.062500,1.234375,0.761305,1625068800
1990-02-01,1.234375,1.296875,1.187500,1.257813,0.775760,905728000
1990-03-01,1.250000,1.367188,1.210938,1.304688,0.804671,1354588800
1990-04-01,1.289063,1.375000,1.210938,1.234375,0.761305,1090665600
1990-05-01,1.234375,1.539063,1.234375,1.507813,0.929949,1603756800
1990-06-01,1.507813,1.523438,1.406250,1.468750,0.905857,907753600
1990-07-01,1.468750,1.625000,1.226563,1.390625,0.857673,1415872000
1990-08-01,1.390625,1.390625,0.953125,1.042969,0.643255,1970364800
1990-09-01,1.031250,1.078125,0.929688,1.039063,0.640845,1079324800
1990-10-01,1.031250,1.128906,0.875000,1.046875,0.645664,1356022400
1990-11-01,1.031250,1.203125,1.015625,1.171875,0.722758,897820800
1990-12-01,1.179688,1.257813,1.085938,1.203125,0.742032,874662400
1991-01-01,1.187500,1.429688,1.179688,1.429688,0.881765,1716937600
1991-02-01,1.429688,1.593750,1.421875,1.492188,0.920312,1227955200
1991-03-01,1.484375,1.648438,1.351563,1.460938,0.901038,1613091200
1991-04-01,1.460938,1.726563,1.445313,1.539063,0.949223,1460339200
1991-05-01,1.515625,1.742188,1.460938,1.742188,1.074500,1573110400
1991-06-01,1.742188,1.851563,1.359375,1.453125,0.896220,1910780800
1991-07-01,1.460938,1.492188,1.281250,1.468750,0.905857,1601216000
1991-08-01,1.484375,1.648438,1.375000,1.546875,0.954040,1278780800
1991-09-01,1.539063,1.562500,1.250000,1.320313,0.814308,1657193600
1991-10-01,1.328125,1.421875,1.203125,1.269531,0.782988,1391708800
1991-11-01,1.296875,1.382813,1.242188,1.281250,0.790216,1100080000
1991-12-01,1.273438,1.539063,1.257813,1.531250,0.944404,1043036800
1992-01-01,1.519531,1.968750,1.476563,1.871094,1.154004,2359977600
1992-02-01,1.875000,2.148438,1.843750,1.984375,1.223870,1361203200
1992-03-01,1.984375,2.109375,1.609375,1.726563,1.064864,1698380800
1992-04-01,1.726563,1.851563,1.531250,1.671875,1.031135,1772044800
1992-05-01,1.671875,1.710938,1.453125,1.562500,0.963677,1200016000
1992-06-01,1.562500,1.804688,1.492188,1.781250,1.098592,1387920000
1992-07-01,1.781250,1.882813,1.710938,1.867188,1.151595,1166182400
1992-08-01,1.882813,1.914063,1.695313,1.812500,1.117866,789286400
1992-09-01,1.804688,2.093750,1.804688,2.054688,1.267235,1204592000
1992-10-01,2.046875,2.160156,1.898438,2.109375,1.300965,1556710400
1992-11-01,2.093750,2.257813,2.078125,2.234375,1.380118,1046403200
1992-12-01,2.242188,2.859375,2.218750,2.718750,1.679304,1923811200
1993-01-01,2.718750,3.687500,2.695313,3.335938,2.060527,2980275200
1993-02-01,3.343750,3.750000,3.257813,3.640625,2.250724,2405235200
1993-03-01,3.648438,3.789063,3.476563,3.593750,2.221743,2026496000
1993-04-01,3.589844,3.781250,2.671875,2.972656,1.837768,3788163200
1993-05-01,2.992188,3.546875,2.976563,3.464844,2.144367,1689148800
1993-06-01,3.468750,3.781250,3.304688,3.437500,2.127445,1431424000
1993-07-01,3.437500,3.562500,3.078125,3.265625,2.021073,1232262400
1993-08-01,3.265625,4.203125,3.265625,4.015625,2.487648,1492656000
1993-09-01,3.984375,4.640625,3.765625,4.421875,2.739317,1282339200
1993-10-01,4.468750,4.617188,3.843750,3.953125,2.448930,2020817600
1993-11-01,3.953125,4.031250,3.515625,3.843750,2.383053,1562139200
1993-12-01,3.859375,4.046875,3.515625,3.875000,2.402427,1491811200
1994-01-01,3.890625,4.328125,3.796875,4.078125,2.528361,1974097600
1994-02-01,4.062500,4.328125,3.781250,4.296875,2.666031,1389000000
1994-03-01,4.304688,4.593750,4.062500,4.218750,2.617557,1662636800
1994-04-01,4.093750,4.437500,3.500000,3.812500,2.365498,1856948800
1994-05-01,3.796875,3.921875,3.531250,3.906250,2.425678,1274883200
1994-06-01,3.906250,4.062500,3.578125,3.656250,2.270434,1182070400
1994-07-01,3.679688,3.937500,3.507813,3.703125,2.299543,1286740800
1994-08-01,3.687500,4.218750,3.539063,4.109375,2.554463,1555363200
1994-09-01,4.046875,4.265625,3.750000,3.843750,2.389346,1301622400
1994-10-01,3.859375,3.937500,3.585938,3.882813,2.413629,1679555200
